INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING	INT	FLOAT	STRING
1466	延年益寿（吸收盾）	29	STD_IMPACT_029	1	145	-1	145	80	1	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	护体生命值	2400	30	伤害吸收率	44	0	消耗修正的目标技能集合	0	0	消耗修正率	0	0	聚气时间修正的目标技能集合	0	0	聚气时间修正率	0	0	消散产生的怒气值	0	0			0			0			0			0			0			0			0			0			0	礼敬如来
1467	延年益寿（吸收盾）	29	STD_IMPACT_029	1	145	-1	145	90	1	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	护体生命值	2700	30	伤害吸收率	46	0	消耗修正的目标技能集合	0	0	消耗修正率	0	0	聚气时间修正的目标技能集合	0	0	聚气时间修正率	0	0	消散产生的怒气值	0	0			0			0			0			0			0			0			0			0			0	礼敬如来
1468	延年益寿（吸收盾）	29	STD_IMPACT_029	1	145	-1	145	100	1	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	护体生命值	3000	30	伤害吸收率	48	0	消耗修正的目标技能集合	0	0	消耗修正率	0	0	聚气时间修正的目标技能集合	0	0	聚气时间修正率	0	0	消散产生的怒气值	0	0			0			0			0			0			0			0			0			0			0	礼敬如来
1469	延年益寿（吸收盾）	29	STD_IMPACT_029	1	145	-1	145	110	1	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	护体生命值	3300	30	伤害吸收率	50	0	消耗修正的目标技能集合	0	0	消耗修正率	0	0	聚气时间修正的目标技能集合	0	0	聚气时间修正率	0	0	消散产生的怒气值	0	0			0			0			0			0			0			0			0			0			0	礼敬如来
1470	延年益寿（吸收盾）	29	STD_IMPACT_029	1	145	-1	145	120	1	0	0	1	0	1	0	0	0	0	-1	0	0	0	0	0	0	护体生命值	3600	30	伤害吸收率	52	0	消耗修正的目标技能集合	0	0	消耗修正率	0	0	聚气时间修正的目标技能集合	0	0	聚气时间修正率	0	0	消散产生的怒气值	0	0			0			0			0			0			0			0			0			0			0	礼敬如来
1471	回天术（持续加血）	10	StdImpact010	1	146	-1	146	10	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1483	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1472	回天术（持续加血）	10	StdImpact010	1	146	-1	146	20	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1484	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1473	回天术（持续加血）	10	StdImpact010	1	146	-1	146	30	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1485	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1474	回天术（持续加血）	10	StdImpact010	1	146	-1	146	40	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1486	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1475	回天术（持续加血）	10	StdImpact010	1	146	-1	146	50	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1487	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1476	回天术（持续加血）	10	StdImpact010	1	146	-1	146	60	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1488	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1477	回天术（持续加血）	10	StdImpact010	1	146	-1	146	70	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1489	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1478	回天术（持续加血）	10	StdImpact010	1	146	-1	146	80	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1490	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1479	回天术（持续加血）	10	StdImpact010	1	146	-1	146	90	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1491	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1480	回天术（持续加血）	10	StdImpact010	1	146	-1	146	100	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1492	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1481	回天术（持续加血）	10	StdImpact010	1	146	-1	146	110	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1493	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1482	回天术（持续加血）	10	StdImpact010	1	146	-1	146	120	1	0	1	0	0	0	0	0	0	0	12000	2000	1	0	0	0	0	子效果1数据索引	1494	0	子效果2数据索引	-1	0	。。。	-1	0	子效果15数据索引	-1	0	子效果16数据索引	-1	0	， 一共可以填16个子效果，不用的子效果域请填-1。	-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0		-1	0	移花接木
1483	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	20	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1484	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	30	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1485	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	40	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1486	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	50	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1487	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	60	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1488	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	70	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1489	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	80	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1490	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	90	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1491	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	100	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1492	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	110	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1493	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	120	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1494	回天术单次加血	4	STD_IMPACT_001	0	10	-1	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	HP修改量	130	0.8	MP修改量	0	0	Rage修改量	0	0	StrikePoint修改量	0	0			0			0			0			0			0			0			0			0			0			0			0			0	HPDOT1减血
1495	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	10	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	10	0.1	给目标的效果	1591		给自己的效果	-1																																						
1496	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	20	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	11	0.1	给目标的效果	1591		给自己的效果	-1																																						
1497	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	30	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	12	0.1	给目标的效果	1591		给自己的效果	-1																																						
1498	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	40	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	13	0.1	给目标的效果	1591		给自己的效果	-1																																						
1499	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	50	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	14	0.1	给目标的效果	1591		给自己的效果	-1																																						
1500	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	60	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	15	0.1	给目标的效果	1591		给自己的效果	-1																																						
1501	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	70	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	16	0.1	给目标的效果	1591		给自己的效果	-1																																						
1502	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	80	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	17	0.1	给目标的效果	1591		给自己的效果	-1																																						
1503	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	90	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	18	0.1	给目标的效果	1591		给自己的效果	-1																																						
1504	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	100	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	19	0.1	给目标的效果	1591		给自己的效果	-1																																						
1505	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	110	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	20	0.1	给目标的效果	1591		给自己的效果	-1																																						
1506	绝剑式（防御状态）	60	STD_IMPACT_060	1	147	-1	147	120	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	30	0	激发几率	21	0.1	给目标的效果	1591		给自己的效果	-1																																						
1507	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	2247	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1508	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	3848	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1509	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	5448	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1510	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	7048	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1511	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	8648	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1512	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	10248	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1513	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	11848	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1514	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	13448	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1515	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	15049	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1516	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	16649	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1517	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	18249	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1518	障眼法(加内攻)	3	STD_IMPACT_003	0	1	-1	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	物理攻击+	0	0	魔法攻击+	19849	158.746	冰系攻击	0	0	火系攻击	0	0	电系攻击	0	0	毒系攻击	0	0			0			0			0			0			0			0			0			0			0			0	月落西山(加内攻)
1519	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	10	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1531		给自己的效果	-1																																						
1520	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	20	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1532		给自己的效果	-1																																						
1521	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	30	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1533		给自己的效果	-1																																						
1522	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	40	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1534		给自己的效果	-1																																						
1523	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	50	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1535		给自己的效果	-1																																						
1524	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	60	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1536		给自己的效果	-1																																						
1525	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	70	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1537		给自己的效果	-1																																						
1526	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	80	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1538		给自己的效果	-1																																						
1527	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	90	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1539		给自己的效果	-1																																						
1528	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	100	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1540		给自己的效果	-1																																						
1529	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	110	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1541		给自己的效果	-1																																						
1530	灭剑式（攻击状态）	60	STD_IMPACT_060	1	148	-1	147	120	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	怒气增长修正	0	0	激发几率	30	0	给目标的效果	1542		给自己的效果	-1																																						
1531	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	10	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-10	0	MAX_MP修正率	-10	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1532	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	20	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-11	0	MAX_MP修正率	-11	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1533	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	30	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-12	0	MAX_MP修正率	-12	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1534	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	40	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-13	0	MAX_MP修正率	-13	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1535	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	50	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-14	0	MAX_MP修正率	-14	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1536	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	60	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-15	0	MAX_MP修正率	-15	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1537	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	70	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-16	0	MAX_MP修正率	-16	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1538	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	80	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-17	0	MAX_MP修正率	-17	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1539	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	90	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-18	0	MAX_MP修正率	-18	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
1540	灭剑式（虚弱血气上限）	12	STD_IMPACT_016	1	32	-1	32	100	-1	0	1	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	物理攻击修正率	0	0	物理防御修正率	0	0	魔法攻击修正率	0	0	魔法防御修正率	0	0	冰系攻击修正率	0	0	冰系抗性修正率	0	0	火系攻击修正率	0	0	火系抗性修正率	0	0	电系攻击修正率	0	0	电系抗性修正率	0	0	毒系攻击修正率	0	0	毒系抗性修正率	0	0	MAX_HP修正率	-19	0	MAX_MP修正率	-19	0	MAX_RAGE修正率	0	0	MAX_STRIKE_POINT修正率	0	0	
