INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING																																									
142	40	120	1	9	1	1	6	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	10124000	1	-1	100	100		10124001	1	-1	100	100		10124002	1	-1	100	100		10124003	1	-1	100	100		10124004	1	-1	100	100		10124005	1	-1	100	100		10124006	1	-1	100	100		10124007	1	-1	100	100		10124008	1	-1	100	100		10124198	1	-1	100	100		0	1	20	100	100		0	1	-1	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
143	40	120	1	9	1	1	6	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30001003	1	-1	100	100		30101034	1	-1	100	100		30101035	1	-1	100	100		30101036	1	-1	100	100		30101037	1	-1	100	100		30101038	1	-1	100	100		30101039	1	-1	100	100		30101040	1	-1	100	100		30002003	1	-1	100	100		30101044	1	-1	100	100		30101045	1	20	100	100		30101046	1	-1	100	100		30101047	1	20	100	100		30101048	1	20	100	100		30101049	1	20	100	100		30101050	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	20	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
144	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30505053	10	-1	32	100		30505054	10	-1	40	100		30505055	10	-1	48	100		30505056	10	-1	56	100		30505057	10	-1	64	100		30505058	10	-1	72	100		30505059	10	-1	80	100		30505172	10	-1	100	100	#G	30505173	10	-1	120	100	#G	30501017	1	-1	8	100		30501018	1	-1	8	100		30501019	1	-1	8	100		30501020	1	-1	8	100		30501021	1	-1	8	100		30501022	1	-1	8	100		30501037	1	-1	32	100		30501038	1	-1	32	100		30501039	1	-1	32	100		30501040	1	-1	32	100		30501041	1	-1	32	100		30501042	1	-1	32	100		30501017	5	-1	39	100		30501018	5	-1	39	100		30501019	5	-1	39	100		30501020	5	-1	39	100		30501021	5	-1	39	100		30501022	5	-1	39	100		30501037	5	-1	158	70		30501038	5	-1	158	70		30501039	5	-1	158	70		30501040	5	-1	158	70		30501041	5	-1	158	70		30501042	5	-1	158	70		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
145	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20307001	1	-1	398	100		20307150	1	-1	198	100	#G	20307149	1	-1	198	100	#G	20307148	1	-1	198	100	#G	20307147	1	-1	198	100	#G	20307145	1	-1	198	100	#G	20307146	1	-1	198	100	#G	20307143	1	-1	198	100	#G	20307144	1	-1	198	100	#G	20307139	1	-1	198	100	#G	20307142	1	-1	198	100	#G	20307125	1	-1	400	100		20307126	1	-1	280	100		20307127	1	-1	280	100		20307121	1	-1	238	100		20307122	1	-1	238	100		20307123	1	-1	238	100		20307124	1	-1	238	100		20307128	1	-1	200	100	#G	20307129	1	-1	200	100	#G	20307130	1	-1	200	100	#G	20307137	1	-1	198	100	#G	20307119	1	-1	198	100		20307120	1	-1	198	10		20307114	1	-1	198	100		20307112	1	-1	198	100		20307111	1	-1	198	100		20307115	1	-1	198	100		20307118	1	-1	198	100		20307116	1	-1	198	100		20307117	1	-1	198	100		20307102	1	-1	198	10		20307103	1	-1	198	100		20307104	1	-1	198	10		20307105	1	-1	198	10		20307106	1	-1	198	100		20307107	1	-1	198	100		20307108	1	-1	198	100		20307109	1	-1	198	100		20307110	1	-1	198	100		20307101	1	-1	198	100		20307113	1	-1	198	100		20307133	1	-1	198	100	#G	20307135	1	-1	198	100	#G	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
146	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30308059	1	-1	800	100	#G	30308055	1	-1	1996	100		30308011	1	-1	1400	100		30308045	1	-1	1960	100		30308075	1	-1	1960	100	#G	30308012	1	-1	1400	100		30308111	1	-1	1400	100		30308121	1	-1	1400	100		30308070	1	-1	1960	100		30308091	1	-1	1960	100	#G	30308112	1	-1	1960	100	#G	30308122	1	-1	1960	100	#G	30308013	1	-1	1400	100		30308060	1	-1	1960	100		30308089	1	-1	1960	100	#G	30308113	1	-1	1960	100	#G	30308123	1	-1	1960	100	#G	30308014	1	-1	1400	100		30308066	1	-1	1960	100		30308087	1	-1	1960	100	#G	30308114	1	-1	1960	100	#G	30308124	1	-1	1960	100	#G	30308015	1	-1	1400	100		30308043	1	-1	1960	100		30308093	1	-1	1960	100	#G	30308115	1	-1	1960	100	#G	30308125	1	-1	1960	100	#G	30308016	1	-1	1400	100		30308067	1	-1	1960	100		30308088	1	-1	1960	100	#G	30308116	1	-1	1960	100	#G	30308126	1	-1	1960	100	#G	30308017	1	-1	1400	100		30308068	1	-1	1960	100		30308076	1	-1	1960	100	#G	30308117	1	-1	1960	100	#G	30308127	1	-1	1960	100	#G	30308018	1	-1	1400	100		30308071	1	-1	1960	100		30308092	1	-1	1960	100	#G	30308118	1	-1	1960	100	#G	30308128	1	-1	1960	100	#G	30308019	1	-1	1400	100		30308069	1	-1	1960	100		30308090	1	-1	1960	100	#G	30308119	1	-1	1960	100	#G	30308129	1	-1	1960	100	#G	30308086	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
147	40	120	1	9	1	1	1	1	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30302004	1	20	100	100		30302014	1	20	100	100		30302024	1	20	100	100		30301004	1	20	100	100		30301014	1	20	100	100		30301024	1	20	100	100		30301034	1	20	100	100		30301044	1	20	100	100		30301054	1	20	100	100		30301064	1	20	100	100		30301074	1	20	100	100		30301084	1	20	100	100		30301094	1	20	100	100		30301104	1	20	100	100		30301114	1	20	100	100		30301124	1	20	100	100		30301134	1	20	100	100		30301144	1	20	100	100		30300004	1	20	100	100		30300014	1	20	100	100		30300024	1	20	100	100		30300034	1	20	100	100		30300044	1	20	100	100		30300054	1	20	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
148	40	120	1	9	1	1	1	1	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30302005	1	20	100	100		30302015	1	20	100	100		30302025	1	20	100	100		30301005	1	20	100	100		30301015	1	20	100	100		30301025	1	20	100	100		30301035	1	20	100	100		30301045	1	20	100	100		30301055	1	20	100	100		30301065	1	20	100	100		30301075	1	20	100	100		30301085	1	20	100	100		30301095	1	20	100	100		30301105	1	20	100	100		30301115	1	20	100	100		30301125	1	20	100	100		30301135	1	20	100	100		30301145	1	20	100	100		30300005	1	20	100	100		30300015	1	20	100	100		30300025	1	20	100	100		30300035	1	20	100	100		30300045	1	20	100	100		30300055	1	20	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
149	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30004026	20	-1	100000	50		30004027	20	-1	100000	50		30004028	20	-1	100000	50		30004029	20	-1	100000	50		20310180	1	-1	100000	100	#G	20310181	10	-1	100000	100	#G	20310182	10	-1	100000	100	#G	20310183	10	-1	100000	100	#G	30900008	1	-1	500000	50	#G	30004007	1	-1	100000	100		30502004	1	-1	100000	100		20310115	1	-1	200000	100		20310116	20	-1	200000	100		30008048	1	-1	100000	50		30008029	11	-1	100000	50		30503140	1	-1	1000000	20		30004030	1	-1	100000	50		30900016	1	-1	100000	100		39910006	1	-1	500000	55		30505107	11	-1	100000	100																																																																																																																																																																																																																														
150	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	50421001	1	-1	1	100		50421002	1	-1	1	100		50421003	1	-1	1	100		50421004	1	-1	1	100		50401001	1	-1	1	100		50401002	1	-1	1	100		50402005	1	-1	1	100		50402006	1	-1	1	100		50402007	1	-1	1	100		50402008	1	-1	1	100		50403001	1	-1	1	100		50404002	1	-1	1	100		50411001	1	-1	1	100		50411002	1	-1	1	100		50412005	1	-1	1	100		50412006	1	-1	1	100		50412007	1	-1	1	100		50412008	1	-1	1	100		50413001	1	-1	1	100		50413002	1	-1	1	100		50413003	1	-1	1	100		50413004	1	-1	1	100		50413005	1	-1	1	100		50414001	1	-1	1	100		0	1	-1	100	100	0	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100	1	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																														
151	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30008002	1	-1	60	100		30008003	1	-1	76	50		30900006	1	-1	68	100		30008034	1	-1	160	50	#G	30509500	1	-1	400	100	#G	30509501	1	-1	1200	100	#G	30900045	1	-1	680	100	#G	30900038	1	-1	80	50	#G	30900039	1	-1	400	20	#G	30900040	1	-1	2000	20	#G	10124110	1	-1	980	100	#G	30008037	1	-1	60	100	#G	30008038	1	-1	600	100	#G	31000101	1	-1	800	50	#G	30501152	1	-1	200	100	#G	30008012	1	-1	3800	100		30505107	11	-1	300	100		30900015	1	-1	38	100		30900016	1	-1	398	100		30900010	1	-1	98	100		30502000	10	-1	240	100		30502001	10	-1	320	100		30503017	1	-1	39	100		30503018	1	-1	55	100		30503019	1	-1	72	100		50313004	1	-1	420	100		50301001	1	-1	420	100		50301002	1	-1	420	100		50303001	1	-1	420	100		50314001	1	-1	420	100		50304002	1	-1	420	100		30509011	1	-1	7520	100		30402095	1	-1	3960	100		30402088	1	-1	3960	100		30402092	1	-1	1996	100		30402094	1	-1	1580	100		30509026	1	-1	22	100		30308003	1	-1	1960	100		10141057	1	-1	7200	100		10141045	1	-1	3200	100		31000000	1	-1	168	100		30008018	1	-1	60	100		30008009	1	-1	80	100		30505079	1	-1	9999	40		30008016	1	-1	40	60		20307001	1	-1	398	100		20109007	1	-1	56	100		20109008	1	-1	64	100		30900009	1	-1	24	100		0	1	-1	100	100																																										
152	40	0	1	8	1	1	6	0	1	600000	60	0		0	0	0	96	97	98	100	200	300	400	500	30402101	1	-1	1000000	100	#G	30402103	1	-1	1000000	100	#G	30402105	1	-1	1000000	100	#G	30402107	1	-1	1000000	100	#G	30402117	1	-1	1000000	100	#G	30402119	1	-1	1000000	100	#G	30402058	1	-1	1	100	#G	30402095	1	-1	1	100	#G	30402021	1	-1	1	100		30402022	1	-1	1	100		30402023	1	-1	1	100		30402024	1	-1	1	100		30402026	1	-1	1	100		30402030	1	-1	1	100		30402034	1	-1	1	100		30402036	1	-1	1	100		30402046	1	-1	1	100		30402038	1	-1	1	100		30402040	1	-1	1	100		30402042	1	-1	1	100		30402044	1	-1	1	100		30402092	1	-1	1	100		30402094	1	-1	1	100		30402072	1	-1	1	100		30402048	1	-1	1	100		30402050	1	-1	1	100		30402012	1	-1	1	100		30402014	1	-1	1	100		30402016	1	-1	1	100		30402018	1	-1	1	100		30402020	1	-1	1	100		30402056	1	-1	1	100		30402060	1	-1	1	100		30402062	1	-1	1	100		30402064	1	-1	1	100		30402066	1	-1	1	100		30402068	1	-1	1	100		30402070	1	-1	1	100		30402074	1	-1	1	100		30402076	1	-1	1	100		30402078	1	-1	1	100		30402080	1	-1	1	100		0	1	-1	1	100		0	1	-1	1	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																																						
153	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	10453100	1	-1	1	100		10453113	1	-1	1	100		10453126	1	-1	1	100		10453139	1	-1	1	100		10453152	1	-1	1	100		10453165	1	-1	1	100		10453178	1	-1	1	100		10453191	1	-1	1	100		10453204	1	-1	1	100		10453217	1	-1	1	100		10453230	1	-1	1	100		10453243	1	-1	1	100		10453256	1	-1	1	100		10453269	1	-1	1	100		10453282	1	-1	1	100		10453295	1	-1	1	100		10453298	1	-1	1	100		10453301	1	-1	1	100		10453304	1	-1	1	100	#G	10453307	1	-1	1	100	#G	10453310	1	-1	1	100		10453313	1	-1	1	100		10453316	1	-1	1	100		10453319	1	-1	1	100		10453322	1	-1	1	100		10453325	1	-1	1	100		10453328	1	-1	1	100		10453331	1	-1	1	100		10453334	1	-1	1	100		10453337	1	-1	1	100		10453340	1	-1	1	100		10453343	1	-1	1	100		10453346	1	-1	1	100		10453349	1	-1	1	100		10453352	1	-1	1	100		10453355	1	-1	1	100		10453358	1	-1	1	100		10453361	1	-1	1	100		10453364	1	-1	1	100		10453367	1	-1	1	100		10453370	1	-1	1	100		10453373	1	-1	1	100		10453376	1	-1	1	100		10453379	1	-1	1	100		10453382	1	-1	1	100		10453385	1	-1	1	100		10155004	1	-1	1	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
154	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30503034	1	-1	5	100	#G	30503035	1	-1	25	100	#G	30503036	1	-1	125	100	#G	30503037	1	-1	625	100	#G	30503038	1	-1	3125	100	#G	30503039	1	-1	15625	100	#G	30503040	1	-1	78125	100	#G	30503041	1	-1	390625	100	#G	30503042	1	-1	1953125	100	#G	30503043	1	-1	5	100	#G	30503044	1	-1	25	100		30503045	1	-1	125	100		30503046	1	-1	625	100		30503047	1	-1	3125	100		30503048	1	-1	15625	100		30503049	1	-1	78125	100		30503050	1	-1	390625	100		30503051	1	-1	1953125	100		30503052	1	-1	5	100		30503053	1	-1	25	100		30503054	1	-1	125	100		30503055	1	-1	625	100		30503056	1	-1	3125	100		30503057	1	-1	15625	100		30503058	1	-1	78125	100		30503059	1	-1	390625	100		30503060	1	-1	1953125	100		30503061	1	-1	5	100		30503062	1	-1	25	100		30503063	1	-1	125	100		30503064	1	-1	625	100		30503065	1	-1	3125	100		30503066	1	-1	15625	100		30503067	1	-1	78125	100		30503068	1	-1	390625	100		30503069	1	-1	1953125	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
155	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	10300001	1	-1	1	100		10302001	1	-1	1	100		10304001	1	-1	1	100		10305001	1	-1	1	100		10300002	1	-1	1	100		10302002	1	-1	1	100		10304002	1	-1	1	100		10305002	1	-1	1	100		10300003	1	-1	1	100		10302003	1	-1	1	100		10304003	1	-1	1	100		10305003	1	-1	1	100		10300004	1	-1	1	100		10302004	1	-1	1	100		10304004	1	-1	1	100		10305004	1	-1	1	100		10300005	1	-1	1	100		10302005	1	-1	1	100		10304005	1	-1	1	100		10305005	1	-1	1	100		10300100	1	-1	250000	100		10300101	1	-1	250000	100		10300102	1	-1	250000	100		10301100	1	-1	250000	100		10301101	1	-1	250000	100		10301102	1	-1	250000	100		10301200	1	-1	250000	100		10301201	1	-1	250000	100		10301202	1	-1	250000	100		10302100	1	-1	250000	100		10302101	1	-1	250000	100		10302102	1	-1	250000	100		10303100	1	-1	250000	100		10303101	1	-1	250000	100		10303102	1	-1	250000	100		10303200	1	-1	250000	100		10303201	1	-1	250000	100		10303202	1	-1	250000	100		10304100	1	-1	250000	100		10304101	1	-1	250000	100		10304102	1	-1	250000	100		10305100	1	-1	250000	100		10305101	1	-1	250000	100		10305102	1	-1	250000	100		10305200	1	-1	250000	100		10305201	1	-1	250000	100		10305202	1	-1	250000	100																																																												
156	40	0	1	8	1	1	6	0	1	600000	60	0		0	0	0	96	97	98	100	200	300	400	500	20308001	1	-1	4	100		20308011	1	-1	4	100		20308002	1	-1	6	100		20308012	1	-1	6	100		20308003	1	-1	8	100		20308013	1	-1	8	100		20308004	1	-1	10	100		20308014	1	-1	10	100		20308005	1	-1	12	100		20308015	1	-1	12	100		20308006	1	-1	14	100		20308016	1	-1	14	100		20308007	1	-1	16	100		20308017	1	-1	16	100		20308008	1	-1	18	100		20308018	1	-1	18	100		20308009	1	-1	20	100		20308019	1	-1	20	100		20308010	1	-1	22	100		20308020	1	-1	22	100		20308161	1	-1	24	100	#G	20308163	1	-1	24	100	#G	20308162	1	-1	26	100	#G	20308164	1	-1	26	100	#G	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
157	40	0	1	8	1	1	6	0	1	600000	60	0		0	0	0	96	97	98	100	200	300	400	500	20308021	1	-1	4	100		20308031	1	-1	4	100		20308022	1	-1	6	100		20308032	1	-1	6	100		20308023	1	-1	8	100		20308033	1	-1	8	100		20308024	1	-1	10	100		20308034	1	-1	10	100		20308025	1	-1	12	100		20308035	1	-1	12	100		20308026	1	-1	14	100		20308036	1	-1	14	100		20308027	1	-1	16	100		20308037	1	-1	16	100		20308028	1	-1	18	100		20308038	1	-1	18	100		20308029	1	-1	20	100		20308039	1	-1	20	100		20308030	1	-1	22	100		20308040	1	-1	22	100		20308165	1	-1	24	100	#G	20308167	1	-1	24	100	#G	20308166	1	-1	26	100	#G	20308168	1	-1	26	100	#G	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
158	40	0	1	8	1	1	6	0	1	600000	60	0		0	0	0	96	97	98	100	200	300	400	500	20308041	1	-1	4	100		20308051	1	-1	4	100		20308042	1	-1	6	100		20308052	1	-1	6	100		20308043	1	-1	8	100		20308053	1	-1	8	100		20308044	1	-1	10	100		20308054	1	-1	10	100		20308045	1	-1	12	100		20308055	1	-1	12	100		20308046	1	-1	14	100		20308056	1	-1	14	100		20308047	1	-1	16	100		20308057	1	-1	16	100		20308048	1	-1	18	100		20308058	1	-1	18	100		20308049	1	-1	20	100		20308059	1	-1	20	100		20308050	1	-1	22	100		20308060	1	-1	22	100		20308169	1	-1	24	100	#G	20308171	1	-1	24	100	#G	20308170	1	-1	26	100	#G	20308172	1	-1	26	100	#G	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
159	40	0	1	8	1	1	6	0	1	600000	60	0		0	0	0	96	97	98	100	200	300	400	500	20308061	1	-1	4	100		20308071	1	-1	4	100		20308062	1	-1	6	100		20308072	1	-1	6	100		20308063	1	-1	8	100		20308073	1	-1	8	100		20308064	1	-1	10	100		20308074	1	-1	10	100		20308065	1	-1	12	100		20308075	1	-1	12	100		20308066	1	-1	14	100		20308076	1	-1	14	100		20308067	1	-1	16	100		20308077	1	-1	16	100		20308068	1	-1	18	100		20308078	1	-1	18	100		20308069	1	-1	20	100		20308079	1	-1	20	100		20308070	1	-1	22	100		20308080	1	-1	22	100		20308173	1	-1	24	100	#G	20308175	1	-1	24	100	#G	20308174	1	-1	26	100	#G	20308176	1	-1	26	100	#G	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
160	40	0	1	8	1	1	6	0	1	600000	60	0		0	0	0	96	97	98	100	200	300	400	500	20308081	1	-1	4	100		20308091	1	-1	4	100		20308082	1	-1	6	100		20308092	1	-1	6	100		20308083	1	-1	8	100		20308093	1	-1	8	100		20308084	1	-1	10	100		20308094	1	-1	10	100		20308085	1	-1	12	100		20308095	1	-1	12	100		20308086	1	-1	14	100		20308096	1	-1	14	100		20308087	1	-1	16	100		20308097	1	-1	16	100		20308088	1	-1	18	100		20308098	1	-1	18	100		20308089	1	-1	20	100		20308099	1	-1	20	100		20308090	1	-1	22	100		20308100	1	-1	22	100		20308177	1	-1	24	100	#G	20308179	1	-1	24	100	#G	20308178	1	-1	26	100	#G	20308180	1	-1	26	100	#G	0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100		0	1	-1	100	100																																										
