INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
93	653	5017	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	498	46369	2790	139107	2790	139107	747	69553	747	69553	2790	139107	2989	185476	2989	185476	2989	185476	2989	185476	2989	185476	2989	185476	2989	185476	2989	185476	2989	185476
94	581	5163	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	517	55858	2898	167574	2898	167574	776	83787	776	83787	2898	167574	3105	223432	3105	223432	3105	223432	3105	223432	3105	223432	3105	223432	3105	223432	3105	223432	3105	223432
95	633	5310	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	537	66719	3008	200157	3008	200157	805	100078	805	100078	3008	200157	3223	266876	3223	266876	3223	266876	3223	266876	3223	266876	3223	266876	3223	266876	3223	266876	3223	266876
96	677	5460	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	557	79063	3121	237189	3121	237189	836	118594	836	118594	3121	237189	3344	316252	3344	316252	3344	316252	3344	316252	3344	316252	3344	316252	3344	316252	3344	316252	3344	316252
97	731	5612	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	577	93003	3236	279011	3236	279011	866	139505	866	139505	3236	279011	3467	372015	3467	372015	3467	372015	3467	372015	3467	372015	3467	372015	3467	372015	3467	372015	3467	372015
98	788	5765	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	598	108658	3353	325976	3353	325976	898	162988	898	162988	3353	325976	3592	434634	3592	434634	3592	434634	3592	434634	3592	434634	3592	434634	3592	434634	3592	434634	3592	434634
99	836	5921	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	620	126147	3473	378441	3473	378441	930	189220	930	189220	3473	378441	3721	504589	3721	504589	3721	504589	3721	504589	3721	504589	3721	504589	3721	504589	3721	504589	3721	504589
100	895	6078	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	641	128152	3594	384456	3594	384456	962	192228	962	192228	3594	384456	3851	512608	3851	512608	3851	512608	3851	512608	3851	512608	3851	512608	3851	512608	3851	512608	3851	512608
101	956	6237	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	664	130211	3719	390633	3719	390633	996	195316	996	195316	3719	390633	3984	520844	3984	520844	3984	520844	3984	520844	3984	520844	3984	520844	3984	520844	3984	520844	3984	520844
102	1019	6398	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	686	132325	3845	396977	3845	396977	1030	198488	1030	198488	3845	396977	4120	529303	4120	529303	4120	529303	4120	529303	4120	529303	4120	529303	4120	529303	4120	529303	4120	529303
103	1083	6561	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	709	134496	3974	403490	3974	403490	1064	201745	1064	201745	3974	403490	4258	537987	4258	537987	4258	537987	4258	537987	4258	537987	4258	537987	4258	537987	4258	537987	4258	537987
104	1184	6726	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	733	136725	4106	410177	4106	410177	1099	205088	1099	205088	4106	410177	4399	546903	4399	546903	4399	546903	4399	546903	4399	546903	4399	546903	4399	546903	4399	546903	4399	546903
105	1600	6893	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	757	139013	4239	417041	4239	417041	1135	208520	1135	208520	4239	417041	4542	556055	4542	556055	4542	556055	4542	556055	4542	556055	4542	556055	4542	556055	4542	556055	4542	556055
106	1600	7062	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	786	141361	4404	424085	4404	424085	1179	212042	1179	212042	4404	424085	4719	565446	4719	565446	4719	565446	4719	565446	4719	565446	4719	565446	4719	565446	4719	565446	4719	565446
107	1600	7233	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	813	143770	4552	431312	4552	431312	1219	215656	1219	215656	4552	431312	4878	575082	4878	575082	4878	575082	4878	575082	4878	575082	4878	575082	4878	575082	4878	575082	4878	575082
108	1600	7406	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	840	146241	4704	438725	4704	438725	1260	219362	1260	219362	4704	438725	5040	584967	5040	584967	5040	584967	5040	584967	5040	584967	5040	584967	5040	584967	5040	584967	5040	584967
109	1600	7580	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	867	148776	4859	446329	4859	446329	1301	223164	1301	223164	4859	446329	5206	595106	5206	595106	5206	595106	5206	595106	5206	595106	5206	595106	5206	595106	5206	595106	5206	595106
110	1600	7757	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	1792	151375	10036	454126	10036	454126	2688	227063	2688	227063	10036	454126	10753	605502	10753	605502	10753	605502	10753	605502	10753	605502	10753	605502	10753	605502	10753	605502	10753	605502
111	1600	7935	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	1850	154040	10360	462121	10360	462121	2775	231060	2775	231060	10360	462121	11100	616161	11100	616161	11100	616161	11100	616161	11100	616161	11100	616161	11100	616161	11100	616161	11100	616161
112	1600	8116	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	1909	156771	10691	470315	10691	470315	2863	235157	2863	235157	10691	470315	11455	627087	11455	627087	11455	627087	11455	627087	11455	627087	11455	627087	11455	627087	11455	627087	11455	627087
113	1600	8298	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	1969	159571	11029	478713	11029	478713	2954	239356	2954	239356	11029	478713	11817	638284	11817	638284	11817	638284	11817	638284	11817	638284	11817	638284	11817	638284	11817	638284	11817	638284
114	1600	8482	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	2031	162439	11374	487318	11374	487318	3046	243659	3046	243659	11374	487318	12187	649758	12187	649758	12187	649758	12187	649758	12187	649758	12187	649758	12187	649758	12187	649758	12187	649758
115	1600	8668	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	2094	165378	11727	496134	11727	496134	3141	248067	3141	248067	11727	496134	12564	661512	12564	661512	12564	661512	12564	661512	12564	661512	12564	661512	12564	661512	12564	661512	12564	661512
116	1600	8856	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	2158	168387	12087	505163	12087	505163	3237	252581	3237	252581	12087	505163	12950	673551	12950	673551	12950	673551	12950	673551	12950	673551	12950	673551	12950	673551	12950	673551	12950	673551
117	1600	9046	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	2223	171469	12454	514409	12454	514409	3335	257204	3335	257204	12454	514409	13343	685879	13343	685879	13343	685879	13343	685879	13343	685879	13343	685879	13343	685879	13343	685879	13343	685879
118	1600	9238	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	2290	174625	12828	523876	12828	523876	3436	261938	3436	261938	12828	523876	13745	698501	13745	698501	13745	698501	13745	698501	13745	698501	13745	698501	13745	698501	13745	698501	13745	698501
119	1600	9432	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	2359	177855	13210	533567	13210	533567	3538	266783	3538	266783	13210	533567	14154	711422	14154	711422	14154	711422	14154	711422	14154	711422	14154	711422	14154	711422	14154	711422	14154	711422
120	1600	9628	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	2428	181161	13600	543485	13600	543485	3643	271742	3643	271742	13600	543485	14572	724646	14572	724646	14572	724646	14572	724646	14572	724646	14572	724646	14572	724646	14572	724646	14572	724646
121	1600	9628	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	2499	184544	13997	553633	13997	553633	3749	276816	3749	276816	13997	553633	14997	738178	14997	738178	14997	738178	14997	738178	14997	738178	14997	738178	14997	738178	14997	738178	14997	738178
122	1600	9628	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	2571	188005	14403	564016	14403	564016	3857	282008	3857	282008	14403	564016	15431	752021	15431	752021	15431	752021	15431	752021	15431	752021	15431	752021	15431	752021	15431	752021	15431	752021
123	1600	9628	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	2645	191545	14816	574636	14816	574636	3968	287318	3968	287318	14816	574636	15874	766181	15874	766181	15874	766181	15874	766181	15874	766181	15874	766181	15874	766181	15874	766181	15874	766181
124	1600	9628	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	2720	195165	15236	585496	15236	585496	4081	292748	4081	292748	15236	585496	16325	780662	16325	780662	16325	780662	16325	780662	16325	780662	16325	780662	16325	780662	16325	780662	16325	780662
125	1600	9628	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	2797	198867	15665	596601	15665	596601	4196	298300	4196	298300	15665	596601	16784	795468	16784	795468	16784	795468	16784	795468	16784	795468	16784	795468	16784	795468	16784	795468	16784	795468
126	1600	9628	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	2875	202651	16102	607953	16102	607953	4313	303976	4313	303976	16102	607953	17252	810605	17252	810605	17252	810605	17252	810605	17252	810605	17252	810605	17252	810605	17252	810605	17252	810605
127	1600	9628	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	2954	206519	16547	619557	16547	619557	4432	309778	4432	309778	16547	619557	17729	826076	17729	826076	17729	826076	17729	826076	17729	826076	17729	826076	17729	826076	17729	826076	17729	826076
128	1600	9628	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	3035	210471	17000	631414	17000	631414	4553	315707	4553	315707	17000	631414	18215	841886	18215	841886	18215	841886	18215	841886	18215	841886	18215	841886	18215	841886	18215	841886	18215	841886
